objektidentitet,lannamn,kommunnamn,sockenstadnamn,
1449C1B9-5E71-429E-BAEC-1CE9D560BB3D,"Kronoberg, Jönköping, Kalmar, Jönköping","Uppvidinge, Vetlanda, Hultsfred, Vetlanda",Näshult,
1457A8E8-7EDE-494F-9683-356D5F2158A2,"Skåne, Blekinge","Bromölla, Olofström, Kristianstad, Sölvesborg",Näsum,2022-05-07
1489667C-96DE-41E6-8364-179FCF4ADB23,Östergötland,"Åtvidaberg, Linköping",Grebo,
148C4B71-E1E1-40B4-9F73-CE0BD302073E,"Södermanland, Västmanland, Södermanland","Eskilstuna, Kungsör, Eskilstuna, Katrineholm, Arboga",Västermo,
14B319F8-A6C0-48DE-BC0A-091D0AAE09B5,Västra Götaland,"Färgelanda, Munkedal",Hede,
14CCFD2F-46D4-4C30-89FC-B7AC6EE9DB2B,Västerbotten,"Vindeln, Skellefteå, Robertsfors, Umeå, Skellefteå, Vindeln, Norsjö",Burträsk,
14E1C264-304A-405E-BD82-FAFF177EBB0B,"Östergötland, Kalmar","Valdemarsvik, Västervik",Loftahammar,
14FC621A-E9EB-4CDE-97E4-3B9E47EA04D8,Västra Götaland,Lidköping,Gillstad,
150F3264-C171-455C-A5CA-86590900A7C0,Halland,Varberg,Torpa,
152A70C8-1A67-419A-BCD5-2CB59B4AC288,"Jönköping, Halland, Jönköping","Gislaved, Hylte, Falkenberg, Gislaved",Gryteryd,
152CB029-BCCE-464C-821A-971064B58D18,"Kronoberg, Blekinge","Tingsryd, Karlshamn, Olofström, Älmhult, Alvesta",Almundsryd,
154F3065-B019-4EEF-BD78-C04A402821CB,Skåne,"Kävlinge, Eslöv",Remmarlöv,
1555058E-67AB-415C-A834-F21497BB9C93,Uppsala,"Uppsala, Uppsala, Östhammar",Rasbo,
1556BAEC-A4E7-4A65-A847-11F290CAE351,Västra Götaland,"Skara, Vara, Skara",Vinköl,
157DC4D6-3794-4221-8F05-5770E311B41D,Västra Götaland,"Ulricehamn, Borås, Herrljunga",Od,
158138FF-69DB-4278-B5E4-2731660D4A44,Värmland,"Munkfors, Sunne, Hagfors, Filipstad",Norra Råda,
15A5FDAD-20D2-4605-AC8C-EC9F41F48503,Västra Götaland,"Mariestad, Töreboda, Mariestad",Hassle,
15E0EA58-9229-46E3-93F5-231361745CC1,Västra Götaland,"Mariestad, Mariestad, Töreboda",Berga,
15EEC71D-C9B2-4271-B6DF-3341C8B0F2BA,Gotland,Gotland,Guldrupe,
1604F84E-107A-4E01-BD60-DBBCA44AEAA6,Skåne,Sjöbo,Södra Åsum,
160F39C0-BD03-4CAA-9CA7-F253E8ADCED1,Västra Götaland,"Herrljunga, Herrljunga, Falköping, Vara",Källunga,
164B7147-43F3-469B-9ED0-8F285DD9F77D,Jämtland,"Östersund, Strömsund, Krokom",Gåxsjö,
167A284D-1574-4C12-86C4-31E4FD1003FF,Västernorrland,"Sundsvall, Timrå",Timrå,
